destinatario,userIp,notificationId,mensaje,latencia_ms,timestamp
Seller,192.168.1.1,notif-1756614647538-3314,Este es el mensaje de la notificacion,508,1756614648053
Buyer,192.168.2.26,notif-1756614647538-3314,Este es el mensaje de la notificacion,508,1756614648053
Seller,192.168.1.39,notif-1756614647596-4708,Este es el mensaje de la notificacion,530,1756614648134
Buyer,192.168.2.30,notif-1756614647596-4708,Este es el mensaje de la notificacion,530,1756614648134
Seller,192.168.1.83,notif-1756614647643-217,Este es el mensaje de la notificacion,504,1756614648157
Buyer,192.168.2.38,notif-1756614647643-217,Este es el mensaje de la notificacion,504,1756614648157
Seller,192.168.1.80,notif-1756614647675-3958,Este es el mensaje de la notificacion,513,1756614648196
Buyer,192.168.2.6,notif-1756614647675-3958,Este es el mensaje de la notificacion,513,1756614648196
Seller,192.168.1.26,notif-1756614647675-4595,Este es el mensaje de la notificacion,523,1756614648206
Buyer,192.168.2.96,notif-1756614647675-4595,Este es el mensaje de la notificacion,523,1756614648206
Seller,192.168.1.24,notif-1756614647689-4895,Este es el mensaje de la notificacion,507,1756614648263
Buyer,192.168.2.73,notif-1756614647689-4895,Este es el mensaje de la notificacion,507,1756614648263
Seller,192.168.1.43,notif-1756614647708-5659,Este es el mensaje de la notificacion,502,1756614648360
Buyer,192.168.2.27,notif-1756614647708-5659,Este es el mensaje de la notificacion,502,1756614648360
Seller,192.168.1.33,notif-1756614647770-1313,Este es el mensaje de la notificacion,508,1756614648368
Buyer,192.168.2.58,notif-1756614647770-1313,Este es el mensaje de la notificacion,508,1756614648368
Seller,192.168.1.96,notif-1756614647990-2870,Este es el mensaje de la notificacion,513,1756614648515
Buyer,192.168.2.76,notif-1756614647990-2870,Este es el mensaje de la notificacion,513,1756614648515
Seller,192.168.1.5,notif-1756614648023-1179,Este es el mensaje de la notificacion,508,1756614648551
Buyer,192.168.2.34,notif-1756614648023-1179,Este es el mensaje de la notificacion,508,1756614648551
Seller,192.168.1.34,notif-1756614648024-5222,Este es el mensaje de la notificacion,502,1756614648559
Buyer,192.168.2.23,notif-1756614648024-5222,Este es el mensaje de la notificacion,502,1756614648559
Seller,192.168.1.80,notif-1756614648094-7785,Este es el mensaje de la notificacion,501,1756614648649
Buyer,192.168.2.76,notif-1756614648094-7785,Este es el mensaje de la notificacion,501,1756614648649
Seller,192.168.1.1,notif-1756614648238-6060,Este es el mensaje de la notificacion,506,1756614648747
Buyer,192.168.2.97,notif-1756614648238-6060,Este es el mensaje de la notificacion,506,1756614648747
Seller,192.168.1.65,notif-1756614648294-9862,Este es el mensaje de la notificacion,508,1756614648810
Buyer,192.168.2.49,notif-1756614648294-9862,Este es el mensaje de la notificacion,508,1756614648810
Seller,192.168.1.27,notif-1756614648328-1318,Este es el mensaje de la notificacion,501,1756614648843
Buyer,192.168.2.49,notif-1756614648328-1318,Este es el mensaje de la notificacion,501,1756614648843
Seller,192.168.1.60,notif-1756614648394-6806,Este es el mensaje de la notificacion,510,1756614648906
Buyer,192.168.2.30,notif-1756614648394-6806,Este es el mensaje de la notificacion,510,1756614648906
Seller,192.168.1.61,notif-1756614648426-3181,Este es el mensaje de la notificacion,507,1756614648935
Buyer,192.168.2.28,notif-1756614648426-3181,Este es el mensaje de la notificacion,507,1756614648935
Seller,192.168.1.90,notif-1756614648528-9163,Este es el mensaje de la notificacion,511,1756614649043
Buyer,192.168.2.69,notif-1756614648528-9163,Este es el mensaje de la notificacion,511,1756614649043
Seller,192.168.1.21,notif-1756614648843-8728,Este es el mensaje de la notificacion,508,1756614649359
Buyer,192.168.2.64,notif-1756614648843-8728,Este es el mensaje de la notificacion,508,1756614649359
Seller,192.168.1.82,notif-1756614648918-9111,Este es el mensaje de la notificacion,515,1756614649437
Buyer,192.168.2.97,notif-1756614648918-9111,Este es el mensaje de la notificacion,515,1756614649437
Seller,192.168.1.11,notif-1756614648935-9728,Este es el mensaje de la notificacion,506,1756614649450
Buyer,192.168.2.56,notif-1756614648935-9728,Este es el mensaje de la notificacion,506,1756614649450
Seller,192.168.1.11,notif-1756614649176-6912,Este es el mensaje de la notificacion,510,1756614649692
Buyer,192.168.2.3,notif-1756614649176-6912,Este es el mensaje de la notificacion,510,1756614649692
Seller,192.168.1.78,notif-1756614649176-8963,Este es el mensaje de la notificacion,512,1756614649692
Buyer,192.168.2.71,notif-1756614649176-8963,Este es el mensaje de la notificacion,512,1756614649692
Seller,192.168.1.66,notif-1756614649193-9738,Este es el mensaje de la notificacion,513,1756614649710
Buyer,192.168.2.41,notif-1756614649193-9738,Este es el mensaje de la notificacion,513,1756614649710
Seller,192.168.1.10,notif-1756614649243-5755,Este es el mensaje de la notificacion,509,1756614649760
Buyer,192.168.2.14,notif-1756614649243-5755,Este es el mensaje de la notificacion,509,1756614649760
Seller,192.168.1.11,notif-1756614649359-3962,Este es el mensaje de la notificacion,503,1756614649870
Buyer,192.168.2.81,notif-1756614649359-3962,Este es el mensaje de la notificacion,503,1756614649870
Seller,192.168.1.99,notif-1756614649398-2272,Este es el mensaje de la notificacion,506,1756614649910
Buyer,192.168.2.33,notif-1756614649398-2272,Este es el mensaje de la notificacion,506,1756614649910
Seller,192.168.1.89,notif-1756614649569-5513,Este es el mensaje de la notificacion,508,1756614650077
Buyer,192.168.2.8,notif-1756614649569-5513,Este es el mensaje de la notificacion,508,1756614650077
Seller,192.168.1.27,notif-1756614649796-882,Este es el mensaje de la notificacion,503,1756614650309
Buyer,192.168.2.27,notif-1756614649796-882,Este es el mensaje de la notificacion,503,1756614650309
Seller,192.168.1.76,notif-1756614649927-5513,Este es el mensaje de la notificacion,505,1756614650436
Buyer,192.168.2.24,notif-1756614649927-5513,Este es el mensaje de la notificacion,505,1756614650436
Seller,192.168.1.50,notif-1756614649957-7823,Este es el mensaje de la notificacion,501,1756614650464
Buyer,192.168.2.37,notif-1756614649957-7823,Este es el mensaje de la notificacion,501,1756614650464
Seller,192.168.1.33,notif-1756614649957-9502,Este es el mensaje de la notificacion,503,1756614650466
Buyer,192.168.2.18,notif-1756614649957-9502,Este es el mensaje de la notificacion,503,1756614650466
Seller,192.168.1.9,notif-1756614650011-1683,Este es el mensaje de la notificacion,505,1756614650519
Buyer,192.168.2.53,notif-1756614650011-1683,Este es el mensaje de la notificacion,505,1756614650519
Seller,192.168.1.31,notif-1756614650256-8243,Este es el mensaje de la notificacion,502,1756614650762
Buyer,192.168.2.54,notif-1756614650256-8243,Este es el mensaje de la notificacion,502,1756614650762
Seller,192.168.1.78,notif-1756614650317-211,Este es el mensaje de la notificacion,518,1756614650842
Buyer,192.168.2.32,notif-1756614650317-211,Este es el mensaje de la notificacion,518,1756614650842
Seller,192.168.1.70,notif-1756614650466-213,Este es el mensaje de la notificacion,502,1756614650975
Buyer,192.168.2.81,notif-1756614650466-213,Este es el mensaje de la notificacion,502,1756614650975
Seller,192.168.1.25,notif-1756614650502-5118,Este es el mensaje de la notificacion,504,1756614651009
Buyer,192.168.2.64,notif-1756614650502-5118,Este es el mensaje de la notificacion,504,1756614651009
